Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2013-05-21,2013,5,21,Tuesday,20,2013-20,894.13,899.51,879.0,882.25,0,882.25,-0.013286663927992826,869.35,867.026
2013-05-22,2013,5,22,Wednesday,20,2013-20,882.25,882.25,863.53,877.43,0,877.43,-0.005463312353889194,871.2742857142857,867.67625
2013-05-23,2013,5,23,Thursday,20,2013-20,877.43,877.43,840.35,849.56,0,849.56,-0.031763212278846376,872.1557142857142,866.610588235294
2013-05-24,2013,5,24,Friday,20,2013-20,849.56,855.23,840.65,844.13,0,844.13,-0.006391535255173997,871.9871428571429,865.3616666666667
2013-05-28,2013,5,28,Tuesday,21,2013-21,844.13,868.4,844.13,864.22,0,864.22,0.023799611083723526,872.8407142857142,865.3015789473684
2013-05-29,2013,5,29,Wednesday,21,2013-21,864.22,864.27,843.46,845.5,0,845.5,-0.021661117930304896,871.4449999999999,864.3115
2013-05-30,2013,5,30,Thursday,21,2013-21,845.5,860.36,843.47,857.1,0,857.1,0.013719663614355504,870.4957142857144,863.9680952380953
2013-05-31,2013,5,31,Friday,21,2013-21,857.1,857.56,848.06,852.64,0,852.64,-0.00520354808603396,869.04,863.4531818181819
2013-06-03,2013,6,3,Monday,22,2013-22,852.64,852.64,819.8,821.02,0,821.02,-0.03708481255154927,865.535,861.6082608695652
2013-06-04,2013,6,4,Tuesday,22,2013-22,821.02,834.99,817.36,824.33,0,824.33,0.0040315674159607795,861.92,860.055
2013-06-05,2013,6,5,Wednesday,22,2013-22,824.33,828.62,806.41,807.66,0,807.66,-0.020222536605136954,856.5892857142857,857.9592
2013-06-06,2013,6,6,Thursday,22,2013-22,807.66,812.29,795.83,795.83,0,795.83,-0.014647198633143788,850.2664285714285,855.5696153846154
2013-06-07,2013,6,7,Friday,22,2013-22,795.83,797.23,787.9,791.95,0,791.95,-0.0048754191215364395,843.4107142857143,853.2133333333333
2013-06-10,2013,6,10,Monday,23,2013-23,791.95,796.45,788.02,793.99,0,793.99,0.002575892412273184,836.2578571428572,851.0982142857143
2013-06-11,2013,6,11,Tuesday,23,2013-23,793.99,800.35,778.57,786.05,0,786.05,-0.01000012914402415,829.3864285714286,848.8551724137931
2013-06-12,2013,6,12,Wednesday,23,2013-23,786.05,787.89,778.55,778.92,0,778.92,-0.00907067615741819,822.35,846.524
2013-06-13,2013,6,13,Thursday,23,2013-23,778.92,778.92,765.9,777.43,0,777.43,-0.0019128925525934148,817.1978571428572,844.2951612903227
2013-06-14,2013,6,14,Friday,23,2013-23,777.43,789.33,777.43,783.19,0,783.19,0.007409039810517326,812.845,842.385625
2013-06-17,2013,6,17,Monday,24,2013-24,783.19,787.04,765.38,771.03,0,771.03,-0.01552621088959949,806.1885714285714,840.2233333333334
2013-06-18,2013,6,18,Tuesday,24,2013-24,771.03,783.5,768.34,780.26,0,780.26,0.011970974045157678,801.5285714285714,838.459705882353
2013-06-19,2013,6,19,Wednesday,24,2013-24,780.26,783.57,772.05,782.28,0,782.28,0.002588905628851501,796.1842857142857,836.8545714285714
2013-06-20,2013,6,20,Thursday,24,2013-24,782.28,782.28,757.92,760.17,0,760.17,-0.028263595590688362,789.5792857142858,834.7244444444444
2013-06-21,2013,6,21,Friday,24,2013-24,760.17,768.89,745.29,745.29,0,745.29,-0.01957457570982668,784.17,832.3072972972973
2013-06-24,2013,6,24,Monday,25,2013-25,745.29,745.29,731.54,734.47,0,734.47,-0.014517848949019085,777.7514285714286,829.7326315789473
2013-06-25,2013,6,25,Tuesday,25,2013-25,734.47,751.79,734.47,750.21,0,750.21,0.021430489873483838,773.6478571428571,827.6935897435898
2013-06-26,2013,6,26,Wednesday,25,2013-25,750.21,763.96,749.41,756.55,0,756.55,0.008450921254879784,770.8421428571429,825.915
2013-06-27,2013,6,27,Thursday,25,2013-25,756.55,774.41,756.55,772.48,0,772.48,0.021056100631569263,769.4514285714286,824.6117073170732
2013-06-28,2013,6,28,Friday,25,2013-25,772.48,777.06,761.85,766.27,0,766.27,-0.00803899271762576,767.4714285714286,823.222619047619
2013-07-01,2013,7,1,Monday,26,2013-26,766.27,778.41,765.57,777.86,0,777.86,0.015125171969278428,766.8864285714286,822.1676744186046
2013-07-02,2013,7,2,Tuesday,26,2013-26,777.86,777.86,767.07,774.91,0,774.91,-0.003792471990570312,766.6,821.0936363636364
2013-07-03,2013,7,3,Wednesday,26,2013-26,774.91,779.87,770.95,778.38,0,778.38,0.004477980486171873,766.6678571428572,820.1444444444444
2013-07-04,2013,7,4,Thursday,26,2013-26,778.38,801.5,778.38,801.5,0,801.5,0.029702709437748664,767.9757142857143,819.7391304347826
2013-07-05,2013,7,5,Friday,26,2013-26,801.5,809.72,792.37,793.69,0,793.69,-0.00974422652351059,769.5942857142858,819.1848936170213
2013-07-08,2013,7,8,Monday,27,2013-27,793.69,811.98,793.66,808.92,0,808.92,0.019188827403523234,771.6414285714287,818.9710416666667
2013-07-09,2013,7,9,Tuesday,27,2013-27,808.92,818.82,808.92,818.21,0,818.21,0.01148449693266107,774.2078571428572,818.9555102040816
2013-07-10,2013,7,10,Wednesday,27,2013-27,818.21,818.24,801.32,809.53,0,809.53,-0.010608514247789746,777.7335714285715,818.7669999999999
2013-07-11,2013,7,11,Thursday,27,2013-27,809.53,818.65,809.34,816.36,0,816.36,0.00843693971503412,782.8100000000001,818.4044
2013-07-12,2013,7,12,Friday,27,2013-27,816.36,843.33,816.34,843.05,0,843.05,0.03269391312695502,790.5657142857143,818.2556
2013-07-15,2013,7,15,Monday,28,2013-28,843.05,850.69,838.34,841.74,0,841.74,-0.0015538788655026226,797.1035714285715,818.346
2013-07-16,2013,7,16,Tuesday,28,2013-28,841.74,846.65,839.39,843.2,0,843.2,0.0017345284643655035,803.2928571428571,818.2801999999999
2013-07-17,2013,7,17,Wednesday,28,2013-28,843.2,846.39,835.05,845.34,0,845.34,0.00253796799982986,808.4971428571428,818.1416
2013-07-18,2013,7,18,Thursday,28,2013-28,845.34,851.28,841.99,850.68,0,850.68,0.0063169442480752735,814.5264285714285,817.8544
2013-07-19,2013,7,19,Friday,28,2013-28,850.68,850.68,835.63,839.3,0,839.3,-0.013377539122575444,818.9150000000001,817.2325999999999
2013-07-22,2013,7,22,Monday,29,2013-29,839.3,844.75,838.92,840.8,0,840.8,0.001787203648059732,823.6214285714286,816.5881999999999
2013-07-23,2013,7,23,Tuesday,29,2013-29,840.8,848.28,835.56,836.86,0,836.86,-0.004686016292350881,827.7985714285714,815.9236
2013-07-24,2013,7,24,Wednesday,29,2013-29,836.86,858.28,824.66,830.34,0,830.34,-0.007790978909518187,829.8585714285715,815.0315999999999
2013-07-25,2013,7,25,Thursday,29,2013-29,830.34,830.34,799.69,816.12,0,816.12,-0.01712555251868697,831.4607142857142,813.7081999999999
2013-07-26,2013,7,26,Friday,29,2013-29,816.12,819.97,806.98,809.7,0,809.7,-0.007866469328734471,831.5164285714285,812.2151999999999
2013-07-29,2013,7,29,Monday,30,2013-30,809.7,820.6,808.84,813.82,0,813.82,0.0050882982031301704,831.2028571428572,810.7329999999998
2013-07-30,2013,7,30,Tuesday,30,2013-30,813.82,818.44,810.77,817.72,0,817.72,0.004792169452467743,831.7878571428571,809.2048
2013-07-31,2013,7,31,Wednesday,30,2013-30,817.72,825.44,814.97,820.85,0,820.85,0.0038277221970268727,832.1085714285715,807.9768
2013-08-01,2013,8,1,Thursday,30,2013-30,820.85,834.56,820.85,834.56,0,834.56,0.016702226205062454,831.5021428571428,807.1194
2013-08-02,2013,8,2,Friday,30,2013-30,834.56,838.19,829.24,830.24,0,830.24,-0.00517638915938512,830.6807142857143,806.7330000000001
2013-08-05,2013,8,5,Monday,31,2013-31,830.24,836.67,827.03,829.0,0,829.0,-0.0014935322906151072,829.6664285714287,806.4304
2013-08-06,2013,8,6,Tuesday,31,2013-31,829.0,831.64,824.36,829.51,0,829.51,0.0006152108149879432,828.5357142857143,805.7361999999999
